ticker,yf_ticker,company_name,sasb_sector,truvalue_rating,sa_risk,sa_band,iss_descriptor,tri_pass_votes,tri_fail_votes,triangulation_result,stage1_pass,fossil_flag,hard_excluded,watchlist,watchlist_reason,esg_rank,in_house_z,in_house_pct,E_score,S_score,G_score,ESG_score,carbon_intensity,ci_source,data_vintage,idBbGlobalCompanyName,sector,vol_annual,max_drawdown,sharpe_ratio,beta,beta_band_score,m01_score,m02_score,m03_score,m04_score,composite_financial_score,metric_nan_count,m01_vol_flag,m02_mdd_flag,m03_sharpe_flag,m04_beta_flag,g1_data_sufficiency,g2_margins,g3_cashflow,g4_leverage,g5_investability,gate_verdict,financial_verdict,exclusion_reason,annual_volatility_pct,max_drawdown_pct,beta_vs_benchmark,data_vintage_fin,rf_rate_assumption,benchmark_used,encore_score,aqueduct_score,biodiversity_score,nature_risk_tier,taxonomy_eligible_pct,taxonomy_aligned_pct,euTaxnmyEstmatdDnshMitgtnLevl1,euTaxnmyEstmatdDnshMitgtnLevl2,euTaxnmyEstmatdDnshAdapttnLevl1,euTaxnmyEstmatdDnshAdapttnLevl2,gw_exclude,gw_watchlist
HLBN,HOLN.SW,Holcim Ltd,Extractives & Minerals Processing,Below Average,16.8,Low,Good,2,1,PASS,True,False,False,True,Truvalue=Below Average,143.0,-0.2866207249294034,37.55274261603376,21.26,83.49,59.15,37.55,4285.61,bloomberg_calc,2026-05-20,Holcim AG,Materials,0.3837,-0.5259,0.1824,1.0976,100.0,12.863070539419084,77.59336099585062,18.67219917012448,100.0,51.45,0.0,soft_flag,soft_flag,soft_flag,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,38.37,-52.59,1.0976,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,0.0,,55.56,0.0,71.43,60.0,False,False
SKT,STB.OL,Storebrand ASA,Financials,Average,17.1,Low,Good,3,0,PASS,True,False,False,False,,33.0,0.3354659657845341,86.49789029535864,78.15,49.49,56.07,86.5,0.72,sector_median_imputed,2026-05-20,Storebrand ASA,Financials,,,,,,,,,,,,,,,,PASS,FAIL,PASS,PASS,PASS,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,100.0,,False,False
0B2,BG.VI,BAWAG Group AG,Financials,Below Average,15.57,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,69.0,0.2210473693127074,71.30801687763713,78.15,66.86,31.14,71.31,0.72,sector_median_imputed,2026-05-20,BAWAG Group AG,Financials,0.2881,-0.3103,1.0221,1.1765,50.0,52.4896265560166,26.141078838174263,97.9253112033195,50.0,57.72,0.0,ok,ok,ok,elevated,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,28.81,-31.03,1.1765,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,28.57,,False,False
HMI,RMS.PA,Hermes International SCA,Consumer Goods,Below Average,11.2,Low,Good,2,1,PASS,True,False,False,True,Truvalue=Below Average,200.0,-0.8309366562541535,12.23628691983122,27.98,25.16,8.79,12.24,0.0,sector_median_imputed,2026-05-20,Hermes International,Consumer Discretionary,0.2865,-0.4336,0.2138,1.2862,50.0,53.94190871369295,62.24066390041494,20.74688796680498,50.0,45.68,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,28.65,-43.36,1.2862,2026-05-20,0.025,^STOXX,2.0,2.0,25.0,Low,,0.0,44.44,,42.86,,False,False
CBK,CBK.DE,Commerzbank AG,Financials,Below Average,16.6,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,47.0,0.2731554292680057,80.59071729957806,78.15,59.79,42.01,80.59,0.72,sector_median_imputed,2026-05-20,Commerzbank AG,Financials,0.4,-0.3873,0.832,1.3934,25.0,9.543568464730283,47.717842323651446,91.701244813278,25.0,48.73,0.0,soft_flag,ok,ok,elevated_high,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,40.0,-38.73,1.3934,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,88.89,,71.43,,False,False
3ZV,BFT.WA,Benefit Systems,Services,Average,13.32,Low,Medium,3,0,PASS,True,False,False,False,,74.0,0.1968498366765832,69.19831223628692,78.15,81.8,19.42,69.2,19.57,sector_median_imputed,2026-05-20,Benefit Systems SA,Industrials,0.3806,-0.5323,0.8,0.6637,100.0,14.937759336099589,79.25311203319502,89.62655601659752,100.0,73.65,0.0,soft_flag,soft_flag,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,38.06,-53.23,0.6637,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,,,77.78,,14.29,,False,False
GBF,GBF.DE,Bilfinger SE,Resource Transformation,Average,36.98,High,Medium,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,19.57,sector_median_imputed,2026-05-20,Bilfinger SE,Industrials,0.3418,-0.3288,0.7467,1.1509,50.0,29.460580912863065,31.120331950207472,85.89211618257261,50.0,51.0,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,34.18,-32.88,1.1509,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,44.44,,14.29,,False,False
B9W,BKW.SW,BKW AG,Infrastructure,Average,37.49,High,Medium,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,629.82,sector_median_imputed,2026-05-20,BKW AG,Utilities,0.2319,-0.2535,0.3453,0.5394,75.0,79.25311203319502,12.033195020746888,34.024896265560166,75.0,44.67,0.0,ok,ok,ok,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,23.19,-25.35,0.5394,2026-05-20,0.025,^STOXX,3.5,4.0,67.5,High,12.71,,33.33,,14.29,20.0,False,False
BWJ1,BOL.ST,Boliden AB,Extractives & Minerals Processing,Average,17.43,Low,Good,3,0,PASS,True,False,False,False,,166.0,-0.4924341296383557,27.0042194092827,34.26,18.04,45.77,27.0,13.87,bloomberg_calc,2026-05-20,Boliden AB,Materials,0.3729,-0.4143,0.2588,1.2215,50.0,16.182572614107883,56.84647302904564,24.066390041493776,50.0,37.51,0.0,soft_flag,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,37.29,-41.43,1.2215,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,0.0,44.44,,28.57,,False,False
BYG,EN.PA,Bouygues SA,Infrastructure,Average,31.68,High,Medium,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,19.57,sector_median_imputed,2026-05-20,Bouygues SA,Industrials,0.1982,-0.2421,0.5548,0.7144,100.0,91.28630705394193,8.713692946058089,64.73029045643153,100.0,60.29,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,19.82,-24.21,0.7144,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,77.78,33.33,42.86,40.0,False,False
EBO,EBS.VI,Erste Group Bank AG,Financials,Average,14.2,Low,Medium,3,0,PASS,True,False,False,False,,176.0,-0.5431985605583806,22.36286919831224,6.47,73.23,58.42,22.36,0.72,sector_median_imputed,2026-05-20,Erste Group Bank AG,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,55.56,,28.57,,False,False
4BE,BPE.MI,BPER Banca S.p.A.,Financials,Average,14.9,Low,Medium,3,0,PASS,True,False,False,False,,83.0,0.1468270217450559,65.40084388185655,78.15,48.57,31.85,65.4,0.72,sector_median_imputed,2026-05-20,BPER Banca,Financials,0.3625,-0.384,1.0612,1.3822,25.0,19.50207468879668,46.88796680497925,98.7551867219917,25.0,52.59,0.0,soft_flag,ok,ok,elevated_high,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,36.25,-38.4,1.3822,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,55.56,,85.71,,False,False
8BU,BC.MI,Brunello Cucinelli S.p.A.,Consumer Goods,Average,20.99,Medium,Medium,2,1,PASS,True,False,False,False,,167.0,-0.5022546173474502,26.58227848101265,27.19,53.22,37.32,26.58,0.0,sector_median_imputed,2026-05-20,Brunello Cucinelli SpA,Consumer Discretionary,0.3493,-0.4614,0.2883,1.3932,25.0,26.141078838174263,68.87966804979253,26.55601659751037,25.0,38.86,0.0,ok,soft_flag,ok,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,34.93,-46.14,1.3932,2026-05-20,0.025,^STOXX,2.0,2.0,25.0,Low,,0.0,44.44,,14.29,,False,False
H11,HLMA.L,Halma plc,Resource Transformation,Average,12.9,Low,Medium,3,0,PASS,True,False,False,False,,57.0,0.2571782936955831,76.37130801687763,61.28,78.67,60.01,76.37,19.57,sector_median_imputed,2026-05-20,Halma PLC,Industrials,0.2569,-0.4369,0.3395,1.0689,100.0,68.04979253112033,63.48547717842324,33.19502074688796,100.0,62.61,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,25.69,-43.69,1.0689,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,66.67,,100.0,,False,False
48CA,CABK.MC,CaixaBank SA,Financials,Average,9.5,Negligible,Good,3,0,PASS,True,False,False,False,,63.0,0.2439070256904874,73.83966244725738,78.15,64.03,35.75,73.84,0.72,sector_median_imputed,2026-05-20,CaixaBank SA,Financials,0.2961,-0.263,1.0511,0.9901,100.0,48.13278008298754,14.52282157676349,98.3402489626556,100.0,63.49,0.0,ok,ok,ok,target_band,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,29.61,-26.3,0.9901,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,55.56,,42.86,,False,False
SVKB,SAND.ST,Sandvik AB,Resource Transformation,Average,24.2,Medium,Good,2,1,PASS,True,False,False,False,,139.0,-0.2472280260139047,39.66244725738397,30.54,81.71,48.36,39.66,4.87,bloomberg_calc,2026-05-20,Sandvik AB,Industrials,0.2752,-0.3924,0.4083,1.3601,25.0,60.16597510373444,50.20746887966805,43.98340248962656,25.0,45.29,0.0,ok,ok,ok,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,27.52,-39.24,1.3601,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,55.56,50.0,28.57,40.0,False,False
7CA,CAMX.ST,Camurus,Health Care,Average,19.68,Low,Medium,3,0,PASS,True,False,False,,,,,,0.0,0.0,0.0,0.0,7.99,sector_median_imputed,2026-05-20,Camurus AB,Health Care,0.4374,-0.4643,0.3742,0.8735,100.0,4.979253112033206,70.53941908713693,37.75933609958506,100.0,53.49,0.0,soft_flag,soft_flag,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,43.74,-46.43,0.8735,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,,,,,False,False
1RY,LPP.WA,LPP S.A.,Consumer Goods,Laggard,18.6,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Laggard,129.0,-0.1977874616619468,43.88185654008439,34.86,67.28,55.18,43.88,0.0,sector_median_imputed,2026-05-20,LPP SA,Consumer Discretionary,0.4871,-0.5939,0.3338,1.1418,50.0,1.6597510373444069,89.2116182572614,31.32780082987552,50.0,46.49,0.0,soft_flag,soft_flag,ok,elevated,PASS,SOFT_FLAG,PASS,PASS,PASS,GATE_PASS,PASSED,,48.71,-59.39,1.1418,2026-05-20,0.025,^STOXX,2.0,2.0,25.0,Low,,0.0,66.67,,42.86,,False,False
DIO,CDI.PA,Christian Dior SE,Consumer Goods,Below Average,18.53,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,146.0,-0.3065482534085576,35.86497890295359,44.3,60.7,27.4,35.86,0.0,sector_median_imputed,2026-05-20,Christian Dior SE,Consumer Discretionary,0.293,-0.4927,-0.2613,1.3527,25.0,49.37759336099585,74.68879668049793,3.319502074688797,25.0,38.28,0.0,ok,soft_flag,hard_exclude,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,29.3,-49.27,1.3527,2026-05-20,0.025,^STOXX,2.0,2.0,25.0,Low,,0.0,55.56,,42.86,,False,False
ENXB,ENX.PA,Euronext NV,Financials,Average,13.1,Low,Medium,3,0,PASS,True,False,False,False,,50.0,0.2692684195295406,79.32489451476793,78.15,31.53,57.65,79.32,0.72,sector_median_imputed,2026-05-20,Euronext NV,Financials,0.2099,-0.4009,0.4935,0.5931,75.0,87.96680497925311,53.52697095435685,56.43153526970954,75.0,65.58,0.0,ok,ok,ok,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,20.99,-40.09,0.5931,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,0.0,66.67,,42.86,,False,False
RAW,RBI.VI,Raiffeisen Bank International AG,Financials,Average,17.1,Low,Medium,3,0,PASS,True,False,False,False,,1.0,0.7890705684910246,100.0,78.15,76.75,100.0,100.0,0.72,sector_median_imputed,2026-05-20,Raiffeisen Bank International AG,Financials,0.3921,-0.6165,0.539,1.5012,0.0,11.203319502074692,92.9460580912863,63.07053941908713,0.0,49.05,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,PASS,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,39.21,-61.65,1.5012,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,14.29,,False,False
TLX,TLX.DE,Talanx AG,Financials,Average,21.3,Medium,Medium,2,1,PASS,True,False,False,False,,102.0,-0.0174921356025755,57.38396624472573,78.15,56.26,5.9,57.38,0.72,sector_median_imputed,2026-05-20,Talanx AG,Financials,0.2356,-0.2122,0.9981,0.8927,100.0,78.00829875518673,4.149377593360995,97.0954356846473,100.0,65.98,0.0,ok,ok,ok,target_band,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,23.56,-21.22,0.8927,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,71.43,,False,False
NDA,NDA.DE,Aurubis AG,Extractives & Minerals Processing,Average,21.8,Medium,Good,2,1,PASS,True,False,False,False,,187.0,-0.69097560146596,17.72151898734177,6.47,36.62,59.96,17.72,2149.74,sector_median_imputed,2026-05-20,Aurubis AG,Materials,0.3736,-0.5443,0.475,1.2748,50.0,15.767634854771783,82.15767634854771,54.149377593361,50.0,54.05,0.0,soft_flag,soft_flag,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,37.36,-54.43,1.2748,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,11.11,,14.29,,False,False
XCA,ACA.PA,Credit Agricole SA,Financials,Average,17.67,Low,Medium,3,0,PASS,True,False,False,False,,101.0,-0.0153654063307067,57.80590717299579,78.15,59.37,4.41,57.81,0.72,sector_median_imputed,2026-05-20,Credit Agricole SA,Financials,0.234,-0.3647,0.4404,1.0611,100.0,78.42323651452281,41.49377593360995,49.79253112033195,100.0,63.07,0.0,ok,ok,ok,target_band,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,23.4,-36.47,1.0611,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,85.71,,False,False
ZFIN,ZURN.SW,Zurich Insurance Group Ltd,Financials,Average,14.8,Low,Good,3,0,PASS,True,False,False,False,,9.0,0.4860496112490852,96.62447257383964,78.15,56.96,71.55,96.62,0.72,sector_median_imputed,2026-05-20,Zurich Insurance Group AG,Financials,0.1707,-0.1531,0.6632,0.7222,100.0,96.6804979253112,0.4149377593360981,76.34854771784232,100.0,62.37,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,17.07,-15.31,0.7222,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,57.14,,False,False
AJ3,ANA.MC,Acciona SA,Infrastructure,Average,20.2,Medium,Good,2,1,PASS,True,False,False,False,,91.0,0.0644658119617666,62.0253164556962,75.19,27.05,38.77,62.03,19.57,sector_median_imputed,2026-05-20,Acciona SA,Industrials,0.29,-0.5083,0.4255,0.9265,100.0,51.45228215767635,76.76348547717842,47.30290456431535,100.0,67.51,0.0,ok,soft_flag,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,29.0,-50.83,0.9265,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,26.75,39.4,55.56,0.0,57.14,40.0,False,False
DSN,DANSKE.CO,Danske Bank A/S,Financials,Average,17.66,Low,,2,0,PASS,True,False,False,False,,71.0,0.2138414080815073,70.46413502109705,78.15,55.55,36.65,70.46,0.72,sector_median_imputed,2026-05-20,Danske Bank A/S,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,42.86,,False,False
D1NC,DNB.OL,DNB Bank ASA,Financials,Average,16.99,Low,Medium,3,0,PASS,True,False,False,False,,54.0,0.262721862499111,77.63713080168776,78.15,50.18,46.13,77.64,0.72,sector_median_imputed,2026-05-20,DNB Bank ASA,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,71.43,,False,False
DS81,DSV.CO,DSV A/S,Transportation,Average,12.67,Low,,2,0,PASS,True,False,False,False,,125.0,-0.1681374849115849,46.41350210970464,38.59,60.52,56.11,46.41,19.57,sector_median_imputed,2026-05-20,DSV A/S,Industrials,0.3049,-0.4805,-0.0457,1.1667,50.0,43.98340248962656,73.44398340248962,12.033195020746888,50.0,44.44,0.0,ok,soft_flag,hard_exclude,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,30.49,-48.05,1.1667,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,0.0,66.67,,42.86,40.0,False,False
AA9,ALFA.ST,Alfa Laval AB,Resource Transformation,Average,24.2,Medium,Good,2,1,PASS,True,False,False,False,,2.0,0.648460087753851,99.57805907172995,93.01,65.53,60.78,99.58,19.57,sector_median_imputed,2026-05-20,Alfa Laval AB,Industrials,0.2631,-0.3826,0.4315,1.1025,50.0,65.56016597510373,46.47302904564315,48.54771784232365,50.0,51.62,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,26.31,-38.26,1.1025,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,66.67,,42.86,40.0,False,False
NXS,NEX.PA,Nexans SA,Resource Transformation,Average,22.6,Medium,Good,2,1,PASS,True,False,False,False,,46.0,0.2806228674935787,81.0126582278481,78.15,88.93,26.34,81.01,19.57,sector_median_imputed,2026-05-20,Nexans SA,Industrials,0.362,-0.4226,0.407,1.3866,25.0,19.91701244813278,60.58091286307054,43.56846473029046,25.0,40.23,0.0,soft_flag,ok,ok,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,36.2,-42.26,1.3866,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,77.78,,71.43,,False,False
ENI,ENI.MI,Eni S.p.A.,Extractives & Minerals Processing,Average,25.56,Medium,Good,2,1,PASS,False,True,False,,,,,,0.0,0.0,0.0,0.0,502.04,bloomberg_calc,2026-05-20,Eni SpA,Energy,0.236,-0.2625,0.911,0.6965,100.0,77.59336099585062,14.107883817427393,93.7759336099585,100.0,67.88,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,23.6,-26.25,0.6965,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,14.61,,77.78,,57.14,60.0,False,False
SOC,SUBC.OL,Subsea 7 S.A.,Extractives & Minerals Processing,Average,18.6,Low,Medium,3,0,PASS,True,False,False,False,,104.0,-0.0317670553101745,55.69620253164557,71.64,39.35,25.61,55.7,53.27,bloomberg_calc,2026-05-20,Subsea 7 SA,Energy,0.3375,-0.3499,0.8615,0.6987,100.0,31.74273858921161,37.344398340248965,93.3609958506224,100.0,65.56,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,33.75,-34.99,0.6987,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,42.86,,False,False
FTD,TUB.BR,Financiere de Tubize S.A.,Health Care,Average,13.7,Low,Good,3,0,PASS,True,False,False,,,,,,0.0,0.0,0.0,0.0,7.99,sector_median_imputed,2026-05-20,Financiere de Tubize SA,Health Care,,,,,,,,,,,,,,,,PASS,FAIL,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins; G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,,,,,False,False
FTK,FTK.DE,flatexDEGIRO,Financials,Average,20.47,Medium,Medium,2,1,PASS,True,False,False,False,,220.0,-1.022032279333028,2.109704641350211,6.47,30.82,19.84,2.11,0.72,sector_median_imputed,2026-05-20,flatexDEGIRO AG,Financials,0.5003,-0.8056,0.0505,1.4918,0.0,1.2448132780082943,99.1701244813278,14.522821576763487,0.0,34.36,0.0,soft_flag,hard_exclude,soft_flag,aggressive,PASS,PASS,DATA-INCOMPLETE,PASS,PASS,REVIEW_REQUIRED,EXCLUDED_METRIC,M02:mdd<-70%,50.03,-80.56,1.4918,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,0.0,22.22,,14.29,,False,False
F6O1,FLS.CO,FLSmidth & Co. A/S,Resource Transformation,Average,27.62,Medium,,1,1,BORDERLINE,False,False,False,,,,,,0.0,0.0,0.0,0.0,19.57,sector_median_imputed,2026-05-20,FLSmidth & Co A/S,Industrials,0.3491,-0.395,0.3823,1.4276,0.0,26.556016597510364,51.45228215767635,39.41908713692946,0.0,32.57,0.0,ok,ok,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,34.91,-39.5,1.4276,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,55.56,,42.86,,False,False
IBE1,IBE.MC,Iberdrola SA,Infrastructure,Average,18.6,Low,Good,3,0,PASS,True,False,False,False,,115.0,-0.1022013075362197,51.0548523206751,36.49,82.58,55.99,51.05,629.82,sector_median_imputed,2026-05-20,Iberdrola SA,Utilities,0.1864,-0.2339,0.6481,0.5681,75.0,95.4356846473029,7.676348547717836,75.10373443983403,75.0,58.92,0.0,ok,ok,ok,defensive,PASS,PASS,DATA-INCOMPLETE,PASS,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,18.64,-23.39,0.5681,2026-05-20,0.025,^STOXX,3.5,4.0,67.5,High,59.85,,66.67,50.0,42.86,40.0,False,False
UZAA,FHZN.SW,Flughafen Zurich AG,Services,Average,21.43,Medium,Medium,2,1,PASS,False,True,False,,,,,,0.0,0.0,0.0,0.0,48.02,bloomberg_calc,2026-05-20,Flughafen Zurich AG,Industrials,0.2068,-0.2236,0.3031,0.7326,100.0,89.2116182572614,6.2240663900415,28.21576763485477,100.0,48.17,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,20.68,-22.36,0.7326,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,55.56,,14.29,20.0,False,False
2D7,BEZ.L,Beazley Plc,Financials,Average,17.0,Low,Medium,3,0,PASS,True,False,False,False,,27.0,0.3827171882012781,89.0295358649789,78.15,36.62,69.63,89.03,0.72,sector_median_imputed,2026-05-20,Beazley PLC,Financials,0.3272,-0.2682,0.8174,0.6913,100.0,35.684647302904565,16.182572614107883,90.45643153526972,100.0,59.13,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,32.72,-26.82,0.6913,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,85.71,,False,False
G7W,GAW.L,Games Workshop Group PLC,Consumer Goods,Average,13.79,Low,Poor,2,1,PASS,True,False,True,,,,,,0.0,0.0,0.0,0.0,0.0,sector_median_imputed,2026-05-20,Games Workshop Group PLC,Consumer Discretionary,0.3068,-0.5342,0.2483,0.9784,100.0,43.15352697095436,80.49792531120332,23.236514522821576,100.0,59.75,0.0,ok,soft_flag,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,30.68,-53.42,0.9784,2026-05-20,0.025,^STOXX,2.0,2.0,25.0,Low,,,55.56,,42.86,,False,False
HNR1,HNR1.DE,Hannover Rueck SE,Financials,Average,16.3,Low,Medium,3,0,PASS,True,False,False,False,,76.0,0.1790905495425352,68.35443037974683,73.27,58.59,39.29,68.35,0.09,bloomberg_calc,2026-05-20,Hannover Rueck SE,Financials,0.227,-0.2447,0.5227,0.773,100.0,81.32780082987551,10.37344398340248,60.16597510373444,100.0,57.43,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,22.7,-24.47,0.773,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,71.43,,False,False
STD,STAN.L,Standard Chartered PLC,Financials,Average,17.7,Low,Medium,3,0,PASS,True,False,False,False,,26.0,0.3877966562327568,89.45147679324894,78.15,49.19,63.11,89.45,0.72,sector_median_imputed,2026-05-20,Standard Chartered PLC,Financials,0.3253,-0.3073,0.7411,1.2328,50.0,36.09958506224067,24.481327800829877,84.64730290456431,50.0,49.96,0.0,ok,ok,ok,elevated,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,32.53,-30.73,1.2328,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,71.43,,False,False
IC1H,IHG.L,InterContinental Hotels Group PLC,Services,Average,19.6,Low,Good,3,0,PASS,True,False,False,False,,120.0,-0.1389316016603839,48.9451476793249,33.34,74.2,61.73,48.95,0.0,sector_median_imputed,2026-05-20,InterContinental Hotels Group PLC,Consumer Discretionary,0.2487,-0.3124,0.6305,1.0313,100.0,70.95435684647302,26.97095435684648,73.85892116182573,100.0,64.44,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,24.87,-31.24,1.0313,2026-05-20,0.025,^STOXX,2.0,2.0,25.0,Low,,,77.78,,71.43,,False,False
