ticker,idBbGlobalCompanyName,bics_sector,encore_score,aqueduct_score,nature_risk_raw,biodiversity_score,nature_risk_tier,nature_risk_method
KB9,KBC Ancora,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
JGE,Julius Baer Group Ltd,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
4BE,BPER Banca,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
H11,Halma PLC,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ARC,Aker BP ASA,Energy,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
LG72,Lagercrantz Group AB,Technology,1.5,2.0,1.7,17.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
22Z,Zealand Pharma A/S,Health Care,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
N0S,Nordic Semiconductor ASA,Technology,1.5,2.0,1.7,17.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
SR9,Swiss Re AG,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
B9W,BKW AG,Utilities,3.5,4.0,3.7,67.5,High,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
8BU,Brunello Cucinelli SpA,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
P9O,Powszechna Kasa Oszczednosci Bank Polski SA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
SFB1,Asseco Poland SA,Technology,1.5,2.0,1.7,17.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
PKY1,Polski Koncern Naftowy ORLEN SA,Energy,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
7PZ,Powszechny Zaklad Ubezpieczen SA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
1T5,Tauron Polska Energia SA,Utilities,3.5,4.0,3.7,67.5,High,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
BRU,mBank SA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
BP1,Bank Polska Kasa Opieki SA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
KGHA,KGHM Polska Miedz SA,Materials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
G7W,Games Workshop Group PLC,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
7CD,CD Projekt SA,Communications,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
C0Q,Coca-Cola HBC AG,Consumer Staples,3.0,3.0,3.0,50.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
MOV,Moncler SpA,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
2VO,Valmet Oyj,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
9TG,Gaztransport Et Technigaz SA,Energy,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
SQG,Siegfried Holding AG,Health Care,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
QJQ,ISS A/S,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
P55,Plus500 Ltd,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ANI,Amundi SA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ENXB,Euronext NV,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
INX,IMCD NV,Materials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
2NN,NN Group NV,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ZS3,FinecoBank Banca Fineco SpA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
1AE,Argenx SE,Health Care,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
4SP,SPIE SA,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
1L30,Lifco AB,Health Care,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
0UB,UBS Group AG,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
A44,Aena SME SA,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
7EL,Elis SA,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
472,Cellnex Telecom SA,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
1ZG,Zegona Communications plc,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
7PI,Poste Italiane SpA,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
2FE,Ferrari NV,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
7CA,Camurus AB,Health Care,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ME1,Banca Mediolanum SpA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
19V,VAT Group AG,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
A16,ASR Nederland NV,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
I10,Italgas SpA,Utilities,3.5,4.0,3.7,67.5,High,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
BPM,Banco BPM SpA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
G70,Galenica AG,Health Care,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
2X1,Abivax SA,Health Care,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
7UB,Unicaja Banco SA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
BIRG,Bank of Ireland Group PLC,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
0B2,BAWAG Group AG,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
A5G,AIB Group PLC,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
1RY,LPP SA,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
2D7,Beazley PLC,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
GEB,Bank of Georgia Group PLC,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
6GF,ING Bank Slaski SA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
7W71,Sweco AB,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
1JJA,Avanza Bank Holding AB,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
04Q,Nordea Bank Abp,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
DP9,Diploma PLC,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
BRZ0,Beijer Ref AB,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
7LB,Lotus Bakeries NV,Consumer Staples,3.0,3.0,3.0,50.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
M3N,Man Group PLC/Jersey,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
9AA,Airtel Africa PLC,Communications,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
7MP,M&G PLC,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ENR,Siemens Energy AG,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
61L0,Sectra AB,Health Care,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
9JL,Nordnet AB publ,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
68F,Technip Energies NV,Energy,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
8D7,TP ICAP Group PLC,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
3ZV,Benefit Systems SA,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
D1NC,DNB Bank ASA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
CJ2,Ringkjoebing Landbobank A/S,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
R6C0,Shell PLC,Energy,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
K7I,Sparebanken Vest,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
TBCG,TBC Bank Group PLC,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
